ZoneID0,AgeID,NumChildID,Val
210000,9,0,3866
210000,9,1,5
210000,9,2,1
210000,10,0,949
217000,1,0,10
217000,1,1,1103
217000,1,2,2688
217000,1,3,1214
217000,2,0,37
217000,2,1,749
217000,2,2,2412
217000,2,3,1487
217000,3,0,40
217000,3,1,626
217000,3,2,1183
217000,3,3,524
217000,4,0,1302
217000,4,1,1361
217000,4,2,1167
217000,4,3,507
217000,5,0,1834
217000,5,1,430
217000,5,2,275
217000,5,3,59
217000,6,0,6218
217000,6,1,4137
217000,6,2,6039
217000,6,3,2060
217000,7,0,8065
217000,7,1,1254
217000,7,2,433
217000,7,3,81
217000,8,0,7720
217000,8,1,80
217000,8,2,15
217000,8,3,8
217000,9,0,6494
217000,9,1,11
217000,9,2,3
217000,10,0,1773
219000,1,0,10
219000,1,1,1142
219000,1,2,2563
219000,1,3,1080
219000,2,0,50
219000,2,1,669
219000,2,2,2347
219000,2,3,1365
219000,3,0,64
219000,3,1,496
219000,3,2,1121
219000,3,3,512
219000,4,0,1805
219000,4,1,1206
219000,4,2,1060
219000,4,3,475
219000,5,0,2288
219000,5,1,452
219000,5,2,230
219000,5,3,23
219000,6,0,5532
219000,6,1,3962
219000,6,2,5849
219000,6,3,1913
219000,7,0,6024
219000,7,1,1097
219000,7,2,376
219000,7,3,84
219000,8,0,5010
219000,8,1,54
219000,8,2,10
219000,8,3,4
219000,9,0,4100
219000,9,1,5
219000,9,2,4
219000,9,3,1
219000,10,0,1176
223000,1,0,7
223000,1,1,397
223000,1,2,997
223000,1,3,504
223000,2,0,6
223000,2,1,291
223000,2,2,1181
223000,2,3,578
223000,3,0,11
223000,3,1,248
223000,3,2,570
223000,3,3,239
223000,4,0,300
223000,4,1,476
223000,4,2,486
223000,4,3,179
223000,5,0,519
223000,5,1,116
223000,5,2,36
223000,5,3,6
223000,6,0,1763
223000,6,1,1564
223000,6,2,2709
223000,6,3,856
223000,7,0,2716
223000,7,1,584
223000,7,2,223
223000,7,3,45
223000,8,0,2949
223000,8,1,42
223000,8,2,14
223000,9,0,3078
223000,9,1,5
223000,9,2,2
223000,10,0,1017
230000,1,0,5
230000,1,1,901
230000,1,2,3072
230000,1,3,1374
230000,2,0,20
230000,2,1,629
230000,2,2,2733
230000,2,3,1710
230000,3,0,89
230000,3,1,484
230000,3,2,1278
