ZoneID0,AgeID,FamID,Val
190000,9,1,1485
190000,9,2,2172
190000,10,1,865
190000,10,2,417
201000,1,1,213
201000,1,2,2404
201000,2,1,354
201000,2,2,2128
201000,3,1,213
201000,3,2,939
201000,4,1,515
201000,4,2,1114
201000,5,1,345
201000,5,2,287
201000,6,1,1583
201000,6,2,6719
201000,7,1,850
201000,7,2,2799
201000,8,1,603
201000,8,2,1965
201000,9,1,857
201000,9,2,1503
201000,10,1,436
201000,10,2,234
210000,1,1,458
210000,1,2,3299
210000,2,1,753
210000,2,2,2825
210000,3,1,420
210000,3,2,1253
210000,4,1,942
210000,4,2,1589
210000,5,1,767
210000,5,2,703
210000,6,1,3312
210000,6,2,9437
210000,7,1,1761
210000,7,2,4239
210000,8,1,1672
210000,8,2,3438
210000,9,1,1604
210000,9,2,2268
210000,10,1,668
210000,10,2,281
217000,1,1,727
217000,1,2,4288
217000,2,1,1095
217000,2,2,3590
217000,3,1,612
217000,3,2,1761
217000,4,1,1845
217000,4,2,2492
217000,5,1,1348
217000,5,2,1250
217000,6,1,5789
217000,6,2,12665
217000,7,1,3328
217000,7,2,6505
217000,8,1,2877
217000,8,2,4946
217000,9,1,2958
217000,9,2,3550
217000,10,1,1247
217000,10,2,526
219000,1,1,584
219000,1,2,4211
219000,2,1,954
219000,2,2,3477
219000,3,1,581
219000,3,2,1612
219000,4,1,1950
219000,4,2,2596
219000,5,1,1499
219000,5,2,1494
219000,6,1,4911
219000,6,2,12345
219000,7,1,2355
219000,7,2,5226
219000,8,1,1643
219000,8,2,3435
219000,9,1,1773
219000,9,2,2337
219000,10,1,819
219000,10,2,357
223000,1,1,186
223000,1,2,1719
223000,2,1,405
223000,2,2,1651
223000,3,1,266
223000,3,2,802
223000,4,1,496
223000,4,2,945
223000,5,1,398
223000,5,2,279
223000,6,1,1682
223000,6,2,5210
223000,7,1,1000
223000,7,2,2568
223000,8,1,911
223000,8,2,2094
223000,9,1,1298
223000,9,2,1787
223000,10,1,700
223000,10,2,318
230000,1,1,454
230000,1,2,4898
230000,2,1,851
230000,2,2,4241
230000,3,1,559
230000,3,2,1978
230000,4,1,1716
230000,4,2,2344
230000,5,1,1101
230000,5,2,691
230000,6,1,3748
230000,6,2,13157
230000,7,1,2155
230000,7,2,5838
230000,8,1,1817
230000,8,2,4129
230000,9,1,2277
230000,9,2,3123
230000,10,1,1480
230000,10,2,636
240000,1,1,393
240000,1,2,4238
240000,2,1,670
240000,2,2,3314
240000,3,1,394
240000,3,2,1562
240000,4,1,926
240000,4,2,2022
240000,5,1,696
240000,5,2,975
240000,6,1,3163
240000,6,2,12236
240000,7,1,1418
240000,7,2,4711
240000,8,1,1071
240000,8,2,2937
240000,9,1,1366
240000,9,2,2310
240000,10,1,525
240000,10,2,275
250000,1,1,549
250000,1,2,2917
250000,2,1,823
250000,2,2,2653
250000,3,1,481
250000,3,2,1329
250000,4,1,1158
250000,4,2,1896
250000,5,1,923
250000,5,2,947
250000,6,1,4068
250000,6,2,9621
250000,7,1,2194
250000,7,2,5081
250000,8,1,1718
250000,8,2,3944
250000,9,1,1975
250000,9,2,2723
250000,10,1,797
250000,10,2,320
253000,1,1,638
253000,1,2,4194
253000,2,1,914
253000,2,2,3531
253000,3,1,486
253000,3,2,1515
253000,4,1,1311
253000,4,2,2123
253000,5,1,1043
253000,5,2,1050
253000,6,1,4133
253000,6,2,12519
253000,7,1,1855
253000,7,2,5182
253000,8,1,1510
253000,8,2,3698
253000,9,1,1874
253000,9,2,2888
253000,10,1,676
253000,10,2,367
259000,1,1,744
259000,1,2,4705
259000,2,1,1108
259000,2,2,3625
259000,3,1,669
259000,3,2,1783
259000,4,1,1987
259000,4,2,2742
259000,5,1,1630
259000,5,2,1769
259000,6,1,6106
259000,6,2,14132
259000,7,1,2724
259000,7,2,5965
259000,8,1,1987
259000,8,2,4148
259000,9,1,2221
259000,9,2,3137
259000,10,1,875
259000,10,2,401
260000,1,1,325
260000,1,2,1815
260000,2,1,526
260000,2,2,1693
260000,3,1,293
260000,3,2,765
260000,4,1,835
260000,4,2,1113
260000,5,1,659
260000,5,2,604
260000,6,1,2918
260000,6,2,6105
260000,7,1,1708
260000,7,2,3311
260000,8,1,1503
260000,8,2,3048
260000,9,1,1459
260000,9,2,1972
260000,10,1,570
260000,10,2,244
265000,1,1,800
265000,1,2,6724
265000,2,1,1444
265000,2,2,5983
265000,3,1,928
265000,3,2,2732
265000,4,1,3774
265000,4,2,4250
265000,5,1,2639
265000,5,2,2323
265000,6,1,7868
265000,6,2,20325
265000,7,1,3767
265000,7,2,8660
265000,8,1,2923
265000,8,2,6087
265000,9,1,3071
265000,9,2,4066
265000,10,1,1473
265000,10,2,609
269000,1,1,243
269000,1,2,2296
269000,2,1,409
269000,2,2,1766
269000,3,1,256
269000,3,2,737
269000,4,1,544
269000,4,2,1028
269000,5,1,418
269000,5,2,555
269000,6,1,1768
269000,6,2,6232
269000,7,1,769
269000,7,2,2345
269000,8,1,575
269000,8,2,1789
269000,9,1,773
269000,9,2,1275
