ZoneID0,AgeID,LmaID,Val
169000,5,6,406
169000,5,7,456
169000,5,8,86
169000,6,1,12334
169000,6,2,2248
169000,6,3,332
169000,6,4,673
169000,6,5,976
169000,6,6,1595
169000,6,7,379
169000,6,8,767
169000,7,1,3584
169000,7,2,791
169000,7,3,9
169000,7,4,1037
169000,7,5,281
169000,7,6,431
169000,7,7,19
169000,7,8,250
169000,8,1,376
169000,8,2,330
169000,8,3,4
169000,8,4,3725
169000,8,5,29
169000,8,6,63
169000,8,8,112
169000,9,1,23
169000,9,2,92
169000,9,3,3
169000,9,4,3618
169000,9,6,16
169000,9,8,54
169000,10,1,1
169000,10,2,7
169000,10,4,903
169000,10,6,16
169000,10,8,5
173000,1,3,4800
173000,2,3,5050
173000,3,3,2238
173000,4,1,673
173000,4,2,978
173000,4,3,2026
173000,4,4,5
173000,4,5,34
173000,4,6,340
173000,4,7,1837
173000,4,8,28
173000,5,1,1453
173000,5,2,412
173000,5,3,705
173000,5,4,13
173000,5,5,125
173000,5,6,324
173000,5,7,822
173000,5,8,47
173000,6,1,12235
173000,6,2,1576
173000,6,3,356
173000,6,4,346
173000,6,5,519
173000,6,6,1302
173000,6,7,406
173000,6,8,874
173000,7,1,4526
173000,7,2,870
173000,7,3,13
173000,7,4,748
173000,7,5,277
173000,7,6,490
173000,7,7,13
173000,7,8,494
173000,8,1,643
173000,8,2,535
173000,8,3,9
173000,8,4,4131
173000,8,5,34
173000,8,6,96
173000,8,8,273
173000,9,1,33
173000,9,2,110
173000,9,3,4
173000,9,4,3869
173000,9,6,11
173000,9,8,115
173000,10,1,4
173000,10,2,11
173000,10,3,1
173000,10,4,1587
173000,10,6,5
173000,10,8,10
175000,1,3,4157
175000,2,3,3573
175000,3,3,1468
175000,4,1,639
175000,4,2,584
175000,4,3,611
175000,4,4,8
175000,4,5,47
175000,4,6,253
175000,4,7,1043
175000,4,8,26
175000,5,1,1350
175000,5,2,303
175000,5,3,206
175000,5,4,35
175000,5,5,141
175000,5,6,219
175000,5,7,380
175000,5,8,46
175000,6,1,9645
175000,6,2,1645
175000,6,3,237
175000,6,4,365
175000,6,5,585
175000,6,6,1052
175000,6,7,325
175000,6,8,624
175000,7,1,2981
175000,7,2,707
175000,7,3,7
175000,7,4,814
175000,7,5,264
175000,7,6,363
175000,7,7,14
175000,7,8,234
175000,8,1,296
175000,8,2,271
175000,8,3,2
175000,8,4,3103
175000,8,5,23
175000,8,6,59
175000,8,8,89
175000,9,1,9
175000,9,2,52
175000,9,3,1
175000,9,4,2612
175000,9,6,5
175000,9,8,25
175000,10,1,1
175000,10,2,11
175000,10,4,1045
175000,10,6,7
175000,10,8,1
183000,1,3,2219
183000,2,3,2007
183000,3,3,848
183000,4,1,366
183000,4,2,369
183000,4,3,399
183000,4,4,23
183000,4,5,33
183000,4,6,186
183000,4,7,707
183000,4,8,14
183000,5,1,721
183000,5,2,221
183000,5,3,101
183000,5,4,19
183000,5,5,132
183000,5,6,181
183000,5,7,190
183000,5,8,25
183000,6,1,4883
183000,6,2,984
183000,6,3,147
183000,6,4,386
183000,6,5,517
183000,6,6,653
183000,6,7,175
183000,6,8,288
183000,7,1,1419
183000,7,2,337
183000,7,3,3
183000,7,4,597
183000,7,5,178
183000,7,6,184
183000,7,7,2
183000,7,8,112
183000,8,1,120
183000,8,2,130
183000,8,3,1
183000,8,4,1657
183000,8,5,12
183000,8,6,25
183000,8,8,55
183000,9,1,4
183000,9,2,34
183000,9,4,1467
183000,9,6,4
183000,9,8,20
183000,10,2,2
183000,10,3,1
183000,10,4,293
183000,10,6,5
183000,10,8,1
185000,1,3,4115
185000,2,3,3877
185000,3,3,1701
185000,4,1,519
185000,4,2,522
185000,4,3,485
185000,4,4,17
185000,4,5,45
185000,4,6,284
185000,4,7,932
185000,4,8,28
185000,5,1,876
185000,5,2,230
185000,5,3,145
185000,5,4,17
185000,5,5,97
185000,5,6,199
185000,5,7,245
185000,5,8,38
185000,6,1,10221
185000,6,2,1493
185000,6,3,243
185000,6,4,393
185000,6,5,564
185000,6,6,876
185000,6,7,272
185000,6,8,558
185000,7,1,3289
185000,7,2,778
185000,7,3,11
185000,7,4,872
185000,7,5,303
185000,7,6,288
185000,7,7,21
185000,7,8,200
185000,8,1,311
185000,8,2,294
185000,8,3,4
185000,8,4,3522
185000,8,5,29
185000,8,6,53
185000,8,8,101
185000,9,1,4
185000,9,2,53
185000,9,3,2
185000,9,4,2955
185000,9,6,8
185000,9,8,27
185000,10,2,4
185000,10,4,912
185000,10,6,4
185000,10,8,1
187000,1,3,1822
187000,2,3,1654
187000,3,3,628
187000,4,1,220
187000,4,2,220
187000,4,3,238
187000,4,4,7
187000,4,5,14
187000,4,6,95
187000,4,7,414
187000,4,8,4
187000,5,1,472
187000,5,2,103
187000,5,3,39
187000,5,4,9
187000,5,5,49
187000,5,6,101
187000,5,7,85
187000,5,8,26
187000,6,1,4162
187000,6,2,590
187000,6,3,86
187000,6,4,81
187000,6,5,218
187000,6,6,382
187000,6,7,109
187000,6,8,247
187000,7,1,1138
187000,7,2,211
187000,7,3,4
187000,7,4,175
187000,7,5,70
187000,7,6,80
187000,7,7,2
187000,7,8,76
187000,8,1,127
187000,8,2,113
187000,8,3,2
187000,8,4,1140
187000,8,5,7
187000,8,6,15
187000,8,8,52
187000,9,1,7
187000,9,2,37
187000,9,4,1366
187000,9,6,4
187000,9,8,23
187000,10,2,1
187000,10,4,296
187000,10,6,6
187000,10,8,3
190000,1,3,4272
190000,2,3,4025
190000,3,3,1765
190000,4,1,451
190000,4,2,499
190000,4,3,606
190000,4,4,18
190000,4,5,34
190000,4,6,196
190000,4,7,695
190000,4,8,13
190000,5,1,599
190000,5,2,145
190000,5,3,105
190000,5,4,27
190000,5,5,56
190000,5,6,128
190000,5,7,130
190000,5,8,31
190000,6,1,9603
190000,6,2,1454
190000,6,3,152
190000,6,4,291
190000,6,5,336
190000,6,6,699
190000,6,7,188
190000,6,8,650
190000,7,1,3555
190000,7,2,709
190000,7,3,10
190000,7,4,594
190000,7,5,188
190000,7,6,293
190000,7,7,9
190000,7,8,320
190000,8,1,455
190000,8,2,379
190000,8,3,5
190000,8,4,3206
190000,8,5,15
190000,8,6,51
190000,8,8,179
190000,9,1,26
190000,9,2,91
190000,9,3,4
190000,9,4,3440
190000,9,6,7
190000,9,8,88
190000,10,1,3
190000,10,2,7
190000,10,4,1259
190000,10,6,3
190000,10,8,9
201000,1,3,2617
201000,2,3,2482
201000,3,3,1152
201000,4,1,309
201000,4,2,264
201000,4,3,358
201000,4,4,3
201000,4,5,20
201000,4,6,154
201000,4,7,512
201000,4,8,8
201000,5,1,314
201000,5,2,76
201000,5,3,54
201000,5,4,5
201000,5,5,31
201000,5,6,80
201000,5,7,57
201000,5,8,13
201000,6,1,6304
201000,6,2,792
201000,6,3,81
201000,6,4,118
201000,6,5,182
201000,6,6,342
201000,6,7,142
201000,6,8,340
201000,7,1,2413
201000,7,2,467
201000,7,3,7
201000,7,4,325
201000,7,5,79
201000,7,6,151
201000,7,7,8
