ZoneID0,AgeID,IncomeID,Val
153000,10,10,0
155000,1,0,1399
155000,1,1,0
155000,1,2,0
155000,1,3,0
155000,1,4,0
155000,1,5,0
155000,1,6,0
155000,1,7,0
155000,1,8,0
155000,1,9,0
155000,1,10,0
155000,2,0,1404
155000,2,1,0
155000,2,2,0
155000,2,3,0
155000,2,4,0
155000,2,5,0
155000,2,6,0
155000,2,7,0
155000,2,8,0
155000,2,9,0
155000,2,10,0
155000,3,0,80
155000,3,1,500
155000,3,2,0
155000,3,3,0
155000,3,4,0
155000,3,5,0
155000,3,6,0
155000,3,7,0
155000,3,8,0
155000,3,9,0
155000,3,10,0
155000,4,0,0
155000,4,1,422
155000,4,2,215
155000,4,3,51
155000,4,4,12
155000,4,5,5
155000,4,6,0
155000,4,7,0
155000,4,8,0
155000,4,9,0
155000,4,10,0
155000,5,0,28
155000,5,1,25
155000,5,2,75
155000,5,3,97
155000,5,4,35
155000,5,5,15
155000,5,6,5
155000,5,7,0
155000,5,8,0
155000,5,9,0
155000,5,10,0
155000,6,0,184
155000,6,1,181
155000,6,2,360
155000,6,3,920
155000,6,4,882
155000,6,5,684
155000,6,6,399
155000,6,7,247
155000,6,8,177
155000,6,9,190
155000,6,10,275
155000,7,0,78
155000,7,1,80
155000,7,2,224
155000,7,3,454
155000,7,4,437
155000,7,5,318
155000,7,6,170
155000,7,7,107
155000,7,8,56
155000,7,9,64
155000,7,10,94
155000,8,0,43
155000,8,1,66
155000,8,2,480
155000,8,3,509
155000,8,4,325
155000,8,5,155
155000,8,6,67
155000,8,7,31
155000,8,8,16
155000,8,9,16
155000,8,10,28
155000,9,0,21
155000,9,1,45
155000,9,2,543
155000,9,3,410
155000,9,4,275
155000,9,5,85
155000,9,6,38
155000,9,7,15
155000,9,8,8
155000,9,9,8
155000,9,10,10
155000,10,0,7
155000,10,1,15
155000,10,2,174
155000,10,3,131
155000,10,4,88
155000,10,5,27
155000,10,6,12
155000,10,7,5
155000,10,8,2
155000,10,9,2
155000,10,10,3
157000,1,0,6235
157000,1,1,0
157000,1,2,0
157000,1,3,0
157000,1,4,0
157000,1,5,0
157000,1,6,0
157000,1,7,0
157000,1,8,0
157000,1,9,0
157000,1,10,0
157000,2,0,7021
157000,2,1,0
157000,2,2,0
157000,2,3,0
157000,2,4,0
157000,2,5,0
157000,2,6,0
157000,2,7,0
157000,2,8,0
157000,2,9,0
157000,2,10,0
157000,3,0,1009
157000,3,1,2281
157000,3,2,0
157000,3,3,0
157000,3,4,0
157000,3,5,0
157000,3,6,0
157000,3,7,0
157000,3,8,0
157000,3,9,0
157000,3,10,0
157000,4,0,0
157000,4,1,3321
157000,4,2,1500
157000,4,3,446
157000,4,4,76
157000,4,5,18
157000,4,6,0
157000,4,7,0
157000,4,8,0
157000,4,9,0
157000,4,10,0
157000,5,0,504
157000,5,1,420
157000,5,2,781
157000,5,3,742
157000,5,4,400
157000,5,5,190
157000,5,6,70
157000,5,7,31
157000,5,8,16
157000,5,9,20
157000,5,10,9
157000,6,0,2366
157000,6,1,1120
157000,6,2,2015
157000,6,3,3400
157000,6,4,3215
157000,6,5,2817
157000,6,6,1960
157000,6,7,1382
157000,6,8,1014
157000,6,9,1215
157000,6,10,2600
157000,7,0,988
157000,7,1,501
157000,7,2,897
157000,7,3,1719
157000,7,4,1663
157000,7,5,1377
157000,7,6,850
157000,7,7,582
157000,7,8,436
157000,7,9,504
157000,7,10,1159
157000,8,0,406
157000,8,1,407
157000,8,2,1557
157000,8,3,1819
157000,8,4,1233
157000,8,5,803
157000,8,6,448
157000,8,7,232
157000,8,8,177
157000,8,9,199
157000,8,10,387
157000,9,0,261
157000,9,1,310
157000,9,2,1732
157000,9,3,1552
157000,9,4,1054
157000,9,5,490
157000,9,6,274
157000,9,7,180
157000,9,8,105
157000,9,9,103
157000,9,10,178
157000,10,0,86
157000,10,1,103
157000,10,2,572
157000,10,3,513
157000,10,4,348
157000,10,5,162
157000,10,6,90
157000,10,7,59
157000,10,8,35
157000,10,9,34
157000,10,10,59
159000,1,0,6753
159000,1,1,0
159000,1,2,0
159000,1,3,0
159000,1,4,0
159000,1,5,0
159000,1,6,0
159000,1,7,0
159000,1,8,0
159000,1,9,0
159000,1,10,0
159000,2,0,6213
159000,2,1,0
159000,2,2,0
159000,2,3,0
159000,2,4,0
159000,2,5,0
159000,2,6,0
159000,2,7,0
159000,2,8,0
159000,2,9,0
159000,2,10,0
159000,3,0,637
159000,3,1,2015
159000,3,2,0
159000,3,3,0
159000,3,4,0
159000,3,5,0
159000,3,6,0
159000,3,7,0
159000,3,8,0
159000,3,9,0
159000,3,10,0
159000,4,0,0
159000,4,1,3058
159000,4,2,2054
159000,4,3,630
159000,4,4,97
159000,4,5,15
159000,4,6,0
159000,4,7,6
159000,4,8,0
159000,4,9,0
159000,4,10,0
159000,5,0,222
159000,5,1,660
159000,5,2,1273
159000,5,3,1313
159000,5,4,683
159000,5,5,259
159000,5,6,68
159000,5,7,25
159000,5,8,9
159000,5,9,0
159000,5,10,0
159000,6,0,1132
159000,6,1,1064
159000,6,2,2744
159000,6,3,5680
159000,6,4,4855
159000,6,5,3288
159000,6,6,1833
159000,6,7,1052
159000,6,8,643
159000,6,9,627
159000,6,10,626
159000,7,0,285
159000,7,1,286
159000,7,2,1124
159000,7,3,2387
159000,7,4,1896
159000,7,5,1095
159000,7,6,616
159000,7,7,330
159000,7,8,183
159000,7,9,171
159000,7,10,190
159000,8,0,93
159000,8,1,199
159000,8,2,1854
159000,8,3,2143
159000,8,4,993
159000,8,5,447
159000,8,6,208
159000,8,7,106
159000,8,8,46
159000,8,9,48
159000,8,10,38
159000,9,0,36
159000,9,1,102
159000,9,2,1766
159000,9,3,1352
159000,9,4,594
159000,9,5,147
159000,9,6,74
159000,9,7,29
159000,9,8,16
159000,9,9,17
159000,9,10,9
159000,10,0,14
159000,10,1,39
159000,10,2,677
159000,10,3,519
159000,10,4,228
159000,10,5,56
159000,10,6,28
159000,10,7,11
159000,10,8,6
159000,10,9,6
159000,10,10,3
161000,1,0,2192
161000,1,1,0
161000,1,2,0
161000,1,3,0
161000,1,4,0
161000,1,5,0
161000,1,6,0
161000,1,7,0
161000,1,8,0
161000,1,9,0
161000,1,10,0
161000,2,0,1725
161000,2,1,0
161000,2,2,0
161000,2,3,0
161000,2,4,0
161000,2,5,0
161000,2,6,0
161000,2,7,0
161000,2,8,0
161000,2,9,0
161000,2,10,0
161000,3,0,210
161000,3,1,541
161000,3,2,0
161000,3,3,0
161000,3,4,0
161000,3,5,0
161000,3,6,0
161000,3,7,0
161000,3,8,0
161000,3,9,0
161000,3,10,0
161000,4,0,0
161000,4,1,844
161000,4,2,703
