ZoneID0,AgeID,GenderID,Val
329000,4,2,1256
329000,5,1,1089
329000,5,2,983
329000,6,1,6343
329000,6,2,5857
329000,7,1,2470
329000,7,2,2485
329000,8,1,1703
329000,8,2,1829
329000,9,1,1143
329000,9,2,1357
329000,10,1,268
329000,10,2,471
330000,1,1,3189
330000,1,2,3059
330000,2,1,2890
330000,2,2,2743
330000,3,1,1462
330000,3,2,1353
330000,4,1,3420
330000,4,2,3117
330000,5,1,2614
330000,5,2,2440
330000,6,1,12091
330000,6,2,11903
330000,7,1,5668
330000,7,2,5680
330000,8,1,4514
330000,8,2,4808
330000,9,1,3129
330000,9,2,3730
330000,10,1,657
330000,10,2,1261
336000,1,1,891
336000,1,2,908
336000,2,1,926
336000,2,2,861
336000,3,1,447
336000,3,2,402
336000,4,1,772
336000,4,2,598
336000,5,1,437
336000,5,2,440
336000,6,1,3551
336000,6,2,3553
336000,7,1,1911
336000,7,2,1890
336000,8,1,1570
336000,8,2,1586
336000,9,1,1160
336000,9,2,1191
336000,10,1,242
336000,10,2,356
340000,1,1,1319
340000,1,2,1219
340000,2,1,1298
340000,2,2,1138
340000,3,1,638
340000,3,2,603
340000,4,1,1040
340000,4,2,882
340000,5,1,698
340000,5,2,630
340000,6,1,4741
340000,6,2,4791
340000,7,1,2330
340000,7,2,2350
340000,8,1,1727
340000,8,2,1826
340000,9,1,1151
340000,9,2,1334
340000,10,1,272
340000,10,2,457
350000,1,1,1365
350000,1,2,1331
350000,2,1,1243
350000,2,2,1248
350000,3,1,593
350000,3,2,590
350000,4,1,941
350000,4,2,812
350000,5,1,482
350000,5,2,445
350000,6,1,4509
350000,6,2,4661
350000,7,1,2131
350000,7,2,2048
350000,8,1,1639
350000,8,2,1760
350000,9,1,1261
350000,9,2,1267
350000,10,1,205
350000,10,2,399
360000,1,1,1203
360000,1,2,1168
360000,2,1,1322
360000,2,2,1280
360000,3,1,625
360000,3,2,605
360000,4,1,1273
360000,4,2,1048
360000,5,1,833
360000,5,2,711
360000,6,1,5633
360000,6,2,5224
360000,7,1,3402
360000,7,2,3264
360000,8,1,3200
360000,8,2,3266
360000,9,1,2217
360000,9,2,2325
360000,10,1,491
360000,10,2,831
370000,1,1,3394
370000,1,2,3111
370000,2,1,3304
370000,2,2,3126
370000,3,1,1603
370000,3,2,1554
370000,4,1,3425
370000,4,2,3137
370000,5,1,2384
370000,5,2,2311
370000,6,1,13087
370000,6,2,12915
370000,7,1,5976
370000,7,2,6057
370000,8,1,4846
370000,8,2,5260
370000,9,1,3203
370000,9,2,3937
370000,10,1,714
370000,10,2,1230
376000,1,1,2111
376000,1,2,2056
376000,2,1,2048
376000,2,2,1930
376000,3,1,990
376000,3,2,967
376000,4,1,2144
376000,4,2,1815
376000,5,1,1536
376000,5,2,1394
376000,6,1,8694
376000,6,2,8383
376000,7,1,4730
376000,7,2,4642
376000,8,1,4251
376000,8,2,4306
376000,9,1,2968
376000,9,2,3419
376000,10,1,687
376000,10,2,1160
390000,1,1,1480
390000,1,2,1385
390000,2,1,1564
390000,2,2,1515
390000,3,1,788
390000,3,2,794
390000,4,1,1604
390000,4,2,1375
390000,5,1,1048
390000,5,2,886
390000,6,1,6404
390000,6,2,6175
390000,7,1,3632
390000,7,2,3760
390000,8,1,3345
390000,8,2,3437
390000,9,1,2345
390000,9,2,2597
390000,10,1,490
390000,10,2,817
400000,1,1,1389
400000,1,2,1280
400000,2,1,1389
400000,2,2,1310
400000,3,1,638
400000,3,2,597
400000,4,1,1110
400000,4,2,976
400000,5,1,810
400000,5,2,781
400000,6,1,5246
400000,6,2,5406
400000,7,1,3246
400000,7,2,3361
400000,8,1,3128
400000,8,2,3210
400000,9,1,2161
400000,9,2,2345
400000,10,1,470
400000,10,2,842
410000,1,1,1684
410000,1,2,1523
410000,2,1,1633
410000,2,2,1499
410000,3,1,822
410000,3,2,760
410000,4,1,1340
410000,4,2,1160
410000,5,1,892
410000,5,2,876
410000,6,1,6070
410000,6,2,6066
410000,7,1,3015
410000,7,2,3000
410000,8,1,2382
410000,8,2,2544
410000,9,1,1770
410000,9,2,1916
410000,10,1,405
410000,10,2,604
420000,1,1,1623
420000,1,2,1532
420000,2,1,1674
420000,2,2,1540
420000,3,1,834
420000,3,2,730
420000,4,1,1369
420000,4,2,1209
420000,5,1,871
420000,5,2,838
420000,6,1,6313
420000,6,2,6139
420000,7,1,3174
420000,7,2,3090
420000,8,1,2566
420000,8,2,2633
420000,9,1,1756
420000,9,2,1931
420000,10,1,446
420000,10,2,676
430000,1,1,2078
430000,1,2,1998
430000,2,1,2220
430000,2,2,1989
430000,3,1,1043
430000,3,2,940
430000,4,1,1699
430000,4,2,1408
430000,5,1,1158
430000,5,2,1089
430000,6,1,7913
430000,6,2,7841
430000,7,1,3871
430000,7,2,3901
430000,8,1,3293
430000,8,2,3315
430000,9,1,2331
430000,9,2,2608
430000,10,1,603
430000,10,2,955
440000,1,1,933
440000,1,2,905
440000,2,1,959
440000,2,2,849
440000,3,1,420
440000,3,2,425
440000,4,1,724
440000,4,2,673
440000,5,1,513
440000,5,2,488
440000,6,1,3492
440000,6,2,3547
440000,7,1,1862
440000,7,2,1857
440000,8,1,1497
440000,8,2,1612
440000,9,1,1151
440000,9,2,1330
440000,10,1,285
440000,10,2,469
450000,1,1,1215
450000,1,2,1160
450000,2,1,1232
450000,2,2,1180
450000,3,1,636
450000,3,2,657
450000,4,1,1175
450000,4,2,1059
450000,5,1,718
450000,5,2,656
450000,6,1,4717
450000,6,2,4782
450000,7,1,2431
450000,7,2,2447
450000,8,1,2063
450000,8,2,2139
450000,9,1,1430
450000,9,2,1628
450000,10,1,336
450000,10,2,601
461000,1,1,8664
461000,1,2,8217
461000,2,1,7380
461000,2,2,6953
461000,3,1,3309
461000,3,2,3284
461000,4,1,12663
461000,4,2,13510
461000,5,1,10999
461000,5,2,10189
461000,6,1,31538
461000,6,2,30457
461000,7,1,11710
461000,7,2,11966
461000,8,1,8863
461000,8,2,9996
461000,9,1,6041
461000,9,2,7677
461000,10,1,1484
461000,10,2,2862
479000,1,1,2451
479000,1,2,2408
479000,2,1,2351
479000,2,2,2233
479000,3,1,1170
479000,3,2,1045
479000,4,1,2364
479000,4,2,2023
479000,5,1,1519
479000,5,2,1305
479000,6,1,8629
479000,6,2,8791
479000,7,1,4112
479000,7,2,4363
479000,8,1,3916
479000,8,2,4080
479000,9,1,2463
479000,9,2,2851
479000,10,1,621
479000,10,2,1040
480000,1,1,1137
480000,1,2,1089
480000,2,1,1217
480000,2,2,1111
480000,3,1,596
480000,3,2,570
480000,4,1,946
480000,4,2,810
480000,5,1,634
480000,5,2,618
480000,6,1,4705
480000,6,2,4485
480000,7,1,2276
480000,7,2,2279
480000,8,1,1908
480000,8,2,1887
480000,9,1,1303
480000,9,2,1414
480000,10,1,294
480000,10,2,447
482000,1,1,308
482000,1,2,283
482000,2,1,385
482000,2,2,336
482000,3,1,177
482000,3,2,151
482000,4,1,327
482000,4,2,259
482000,5,1,225
482000,5,2,185
482000,6,1,1583
482000,6,2,1509
482000,7,1,1062
482000,7,2,1041
482000,8,1,1229
482000,8,2,1165
482000,9,1,780
482000,9,2,806
482000,10,1,197
482000,10,2,376
492000,1,1,140
492000,1,2,154
492000,2,1,177
492000,2,2,190
492000,3,1,86
492000,3,2,82
492000,4,1,172
492000,4,2,118
492000,5,1,121
492000,5,2,67
492000,6,1,679
492000,6,2,687
492000,7,1,537
492000,7,2,561
492000,8,1,541
492000,8,2,560
492000,9,1,397
492000,9,2,462
492000,10,1,108
492000,10,2,169
510000,1,1,2144
510000,1,2,2011
510000,2,1,2222
510000,2,2,2080
510000,3,1,1032
510000,3,2,1060
510000,4,1,2144
510000,4,2,1856
510000,5,1,1486
510000,5,2,1300
510000,6,1,8334
510000,6,2,8062
510000,7,1,4166
510000,7,2,4115
510000,8,1,3408
510000,8,2,3439
510000,9,1,2286
510000,9,2,2640
510000,10,1,556
510000,10,2,1012
530000,1,1,1187
530000,1,2,1096
530000,2,1,1109
530000,2,2,1133
530000,3,1,514
530000,3,2,539
530000,4,1,1056
530000,4,2,825
530000,5,1,723
530000,5,2,626
530000,6,1,4408
530000,6,2,4150
530000,7,1,1909
530000,7,2,1854
530000,8,1,1485
530000,8,2,1530
530000,9,1,1026
530000,9,2,1143
530000,10,1,274
530000,10,2,434
540000,1,1,2792
540000,1,2,2609
540000,2,1,2879
540000,2,2,2810
540000,3,1,1414
540000,3,2,1293
540000,4,1,3094
540000,4,2,2473
540000,5,1,1946
540000,5,2,1563
540000,6,1,10828
540000,6,2,10803
540000,7,1,5606
540000,7,2,5443
540000,8,1,4368
540000,8,2,4633
540000,9,1,3388
540000,9,2,4034
540000,10,1,905
540000,10,2,1499
550000,1,1,1414
550000,1,2,1355
550000,2,1,1423
550000,2,2,1384
550000,3,1,651
550000,3,2,645
550000,4,1,1344
550000,4,2,1092
550000,5,1,921
550000,5,2,758
550000,6,1,5144
550000,6,2,4928
550000,7,1,2911
550000,7,2,3032
550000,8,1,2711
550000,8,2,2600
550000,9,1,1699
550000,9,2,1749
550000,10,1,385
550000,10,2,732
561000,1,1,4957
561000,1,2,4743
561000,2,1,4534
561000,2,2,4376
561000,3,1,2078
561000,3,2,1880
561000,4,1,4971
561000,4,2,4641
561000,5,1,3952
561000,5,2,3364
561000,6,1,17644
561000,6,2,17188
561000,7,1,8019
561000,7,2,7939
561000,8,1,6566
561000,8,2,6869
561000,9,1,4336
561000,9,2,5005
561000,10,1,1044
561000,10,2,1652
563000,1,1,109
563000,1,2,109
563000,2,1,121
563000,2,2,120
563000,3,1,66
563000,3,2,55
563000,4,1,90
563000,4,2,56
563000,5,1,30
563000,5,2,33
563000,6,1,390
563000,6,2,434
563000,7,1,241
563000,7,2,284
563000,8,1,347
563000,8,2,343
563000,9,1,238
563000,9,2,241
563000,10,1,33
563000,10,2,86
